date,area_name,area_id,Temperature,Pressure,Precipitation,season
2026-01,El-Salum,N/A,14.95000758,1013.25,64.81448386,Winter
2026-02,El-Salum,N/A,15.52690105,1013.25,30.73096105,Winter
2026-03,El-Salum,N/A,17.77888568,1013.25,24.03169592,Spring
2026-04,El-Salum,N/A,20.83877396,1013.25,15.06011699,Spring
2026-05,El-Salum,N/A,24.08796525,1013.25,3.697880579,Spring
2026-06,El-Salum,N/A,27.98853159,1013.25,0.3070470406,Summer
2026-07,El-Salum,N/A,29.48538533,1013.25,0,Summer
2026-08,El-Salum,N/A,29.99238961,1013.25,0.08928980131,Summer
2026-09,El-Salum,N/A,27.9101152,1013.25,2.699434713,Autumn
2026-10,El-Salum,N/A,24.46233078,1013.25,17.51801708,Autumn
2026-11,El-Salum,N/A,20.43679445,1013.25,21.91058026,Autumn
2026-12,El-Salum,N/A,16.16334071,1013.25,61.39684986,Winter
2027-01,El-Salum,N/A,14.6478363,1013.25,61.45078253,Winter
2027-02,El-Salum,N/A,15.74330661,1013.25,32.96521314,Winter
2027-03,El-Salum,N/A,17.56073224,1013.25,27.67868701,Spring
2027-04,El-Salum,N/A,20.78851988,1013.25,8.481661029,Spring
2027-05,El-Salum,N/A,24.07188937,1013.25,3.301227771,Spring
2027-06,El-Salum,N/A,27.55765341,1013.25,0.6208649841,Summer
2027-07,El-Salum,N/A,29.37561951,1013.25,0,Summer
2027-08,El-Salum,N/A,29.73145841,1013.25,0.06469202638,Summer
2027-09,El-Salum,N/A,27.69481713,1013.25,2.262152254,Autumn
2027-10,El-Salum,N/A,24.35916758,1013.25,19.24521078,Autumn
2027-11,El-Salum,N/A,20.12598867,1013.25,28.01337807,Autumn
2027-12,El-Salum,N/A,16.71029594,1013.25,38.51432575,Winter
2028-01,El-Salum,N/A,15.0565981,1013.25,55.31819001,Winter
2028-02,El-Salum,N/A,15.58061248,1013.25,35.71504565,Winter
2028-03,El-Salum,N/A,17.9808264,1013.25,17.93821177,Spring
2028-04,El-Salum,N/A,20.5772457,1013.25,9.057352679,Spring
2028-05,El-Salum,N/A,24.08259218,1013.25,2.259769858,Spring
2028-06,El-Salum,N/A,27.63271238,1013.25,0.1657600118,Summer
2028-07,El-Salum,N/A,29.59647817,1013.25,0,Summer
2028-08,El-Salum,N/A,29.71444978,1013.25,0.231673704,Summer
2028-09,El-Salum,N/A,27.83958071,1013.25,4.715455585,Autumn
2028-10,El-Salum,N/A,24.65393244,1013.25,19.54188462,Autumn
2028-11,El-Salum,N/A,20.06459715,1013.25,25.08787611,Autumn
2028-12,El-Salum,N/A,16.45376173,1013.25,49.70528142,Winter
2029-01,El-Salum,N/A,14.91236562,1013.25,59.96060418,Winter
2029-02,El-Salum,N/A,15.29093913,1013.25,45.44723509,Winter
2029-03,El-Salum,N/A,17.64078133,1013.25,22.84438624,Spring
2029-04,El-Salum,N/A,20.63508389,1013.25,12.49084729,Spring
2029-05,El-Salum,N/A,23.99397406,1013.25,3.571830033,Spring
2029-06,El-Salum,N/A,27.49970989,1013.25,0.3532362588,Summer
2029-07,El-Salum,N/A,29.55889627,1013.25,0,Summer
2029-08,El-Salum,N/A,30.09092004,1013.25,0.1470138407,Summer
2029-09,El-Salum,N/A,27.78384134,1013.25,3.138897636,Autumn
2029-10,El-Salum,N/A,24.53107753,1013.25,17.38752081,Autumn
2029-11,El-Salum,N/A,20.45035459,1013.25,22.93719703,Autumn
2029-12,El-Salum,N/A,16.52441633,1013.25,54.23905308,Winter
2030-01,El-Salum,N/A,14.85789421,1013.25,56.4374132,Winter
2030-02,El-Salum,N/A,15.91292282,1013.25,32.35620603,Winter
2030-03,El-Salum,N/A,17.52465407,1013.25,23.10718657,Spring
2030-04,El-Salum,N/A,20.34650082,1013.25,14.64311756,Spring
2030-05,El-Salum,N/A,24.1712172,1013.25,5.026529986,Spring
2030-06,El-Salum,N/A,27.8152203,1013.25,0.2181977331,Summer
2030-07,El-Salum,N/A,29.43017608,1013.25,0,Summer
2030-08,El-Salum,N/A,29.74356502,1013.25,0.03212836249,Summer
2030-09,El-Salum,N/A,27.89145567,1013.25,5.05532753,Autumn
2030-10,El-Salum,N/A,24.72657412,1013.25,25.71853239,Autumn
2030-11,El-Salum,N/A,20.72424937,1013.25,19.76369939,Autumn
2030-12,El-Salum,N/A,16.43807521,1013.25,59.60867748,Winter
2026-01,Nabq Protected Area,N/A,14.13068777,1013.25,4.672974098,Winter
2026-02,Nabq Protected Area,N/A,15.28647818,1013.25,2.199529896,Winter
2026-03,Nabq Protected Area,N/A,18.20382067,1013.25,6.239502806,Spring
2026-04,Nabq Protected Area,N/A,22.32016346,1013.25,8.69806834,Spring
2026-05,Nabq Protected Area,N/A,26.04145855,1013.25,4.289691353,Spring
2026-06,Nabq Protected Area,N/A,29.06242008,1013.25,1.121665143,Summer
2026-07,Nabq Protected Area,N/A,30.19717436,1013.25,0,Summer
2026-08,Nabq Protected Area,N/A,30.71225187,1013.25,8.41E-17,Summer
2026-09,Nabq Protected Area,N/A,28.64437751,1013.25,2.417755144,Autumn
2026-10,Nabq Protected Area,N/A,25.11206227,1013.25,2.505185064,Autumn
2026-11,Nabq Protected Area,N/A,20.55471191,1013.25,3.444731476,Autumn
2026-12,Nabq Protected Area,N/A,15.38912497,1013.25,3.017513597,Winter
2027-01,Nabq Protected Area,N/A,13.77517325,1013.25,3.430967744,Winter
2027-02,Nabq Protected Area,N/A,15.74623489,1013.25,4.893347834,Winter
2027-03,Nabq Protected Area,N/A,17.87493977,1013.25,6.22474171,Spring
2027-04,Nabq Protected Area,N/A,21.97788013,1013.25,5.901548703,Spring
2027-05,Nabq Protected Area,N/A,26.22734085,1013.25,4.185941222,Spring
2027-06,Nabq Protected Area,N/A,29.09789663,1013.25,0.4888167122,Summer
2027-07,Nabq Protected Area,N/A,30.44256973,1013.25,0,Summer
2027-08,Nabq Protected Area,N/A,30.76004083,1013.25,0,Summer
2027-09,Nabq Protected Area,N/A,28.89023469,1013.25,0.9146386343,Autumn
2027-10,Nabq Protected Area,N/A,25.15486839,1013.25,6.25577458,Autumn
2027-11,Nabq Protected Area,N/A,20.47760325,1013.25,2.034467566,Autumn
2027-12,Nabq Protected Area,N/A,16.05561531,1013.25,2.721327162,Winter
2028-01,Nabq Protected Area,N/A,14.16781658,1013.25,2.404095377,Winter
2028-02,Nabq Protected Area,N/A,15.3466835,1013.25,3.732963693,Winter
2028-03,Nabq Protected Area,N/A,18.35034261,1013.25,3.652573111,Spring
2028-04,Nabq Protected Area,N/A,21.99400841,1013.25,16.6608349,Spring
2028-05,Nabq Protected Area,N/A,25.88329611,1013.25,11.50776609,Spring
2028-06,Nabq Protected Area,N/A,28.84871331,1013.25,0.3923921198,Summer
2028-07,Nabq Protected Area,N/A,30.60274567,1013.25,0,Summer
2028-08,Nabq Protected Area,N/A,30.72415346,1013.25,3.57E-18,Summer
2028-09,Nabq Protected Area,N/A,28.7237493,1013.25,0.06184938228,Autumn
2028-10,Nabq Protected Area,N/A,25.34513062,1013.25,4.787416394,Autumn
2028-11,Nabq Protected Area,N/A,20.28226232,1013.25,5.1407992,Autumn
2028-12,Nabq Protected Area,N/A,15.79687568,1013.25,1.164758,Winter
2029-01,Nabq Protected Area,N/A,13.96943902,1013.25,4.817079541,Winter
2029-02,Nabq Protected Area,N/A,15.00103423,1013.25,3.101735328,Winter
2029-03,Nabq Protected Area,N/A,18.20870492,1013.25,15.24074877,Spring
2029-04,Nabq Protected Area,N/A,21.95116212,1013.25,8.054136099,Spring
2029-05,Nabq Protected Area,N/A,26.14802384,1013.25,14.88278933,Spring
2029-06,Nabq Protected Area,N/A,28.99634444,1013.25,0.1403592367,Summer
